source_text,translated_text,group_stack
Ephesus,Éfeso,Artboard_1 / Cards / Ephesus_card
"2:2 I know your works, and your toil and perseverance...","2:2 Yo conozco tus obras, tu arduo trabajo y tu perseverancia...",Artboard_1 / Cards / Ephesus_card
"2:4 But I have this against you, that you left your first love.","2:4 Pero tengo contra ti, que has dejado tu primer amor.",Artboard_1 / Cards / Ephesus_card
"2:5 Remember from where you have fallen, and repent.","2:5 Recuerda, por tanto, de dónde has caído, y arrepiéntete.",Artboard_1 / Cards / Ephesus_card
2:7 To him who overcomes I will give to eat from the tree of life,"2:7 Al que venciere, le daré a comer del árbol de la vida",Artboard_1 / Cards / Ephesus_card
a church losing its zeal,una iglesia que pierde su fervor,Artboard_1 / Cards / Ephesus_card
Laodicea,Laodicea,Artboard_1 / Cards / Laodicea_card
"3:15 I know your works, that you are neither cold nor hot.","3:15 Yo conozco tus obras, que ni eres frío ni caliente.",Artboard_1 / Cards / Laodicea_card
"3:16 So because you are lukewarm, I will vomit you out...","3:16 Pero por cuanto eres tibio, te vomitaré...",Artboard_1 / Cards / Laodicea_card
3:18 I counsel you to buy from me gold... and white garments... and eye salve...,3:18 Te aconsejo que de mí compres oro... y vestiduras blancas... y colirio...,Artboard_1 / Cards / Laodicea_card
"3:20 Behold, I stand at the door and knock.3:21 He who overcomes, will sit down with me on my throne","3:20 He aquí, yo estoy a la puerta y llamo.3:21 Al que venciere, se sentará conmigo en mi trono",Artboard_1 / Cards / Laodicea_card
"a rich, lukewarm church",una iglesia rica y tibia,Artboard_1 / Cards / Laodicea_card
Pergamos,Pérgamo,Artboard_1 / Cards / Pergamos_card
tolerates immorality,tolera la inmoralidad,Artboard_1 / Cards / Pergamos_card
"2:13 You hold firmly to my name, and didn’t deny my faith...","2:13 Retienes firmemente mi nombre, y no has negado mi fe...",Artboard_1 / Cards / Pergamos_card
2:14 But I have a few things against you... you have some who hold the teaching of Balaam...,2:14 Pero tengo unas pocas cosas contra ti... tienes a algunos que retienen la doctrina de Balaam...,Artboard_1 / Cards / Pergamos_card
"2:16 Repent therefore, or else I am coming to you quickly...","2:16 Por tanto, arrepiéntete, o de lo contrario vendré a ti pronto...",Artboard_1 / Cards / Pergamos_card
"2:17 To him who overcomes, I will give of the hidden manna, and a white stone, and a new name written on the stone...","2:17 Al que venciere, le daré a comer del maná escondido, y una piedrecita blanca, y un nombre nuevo escrito en la piedrecita...",Artboard_1 / Cards / Pergamos_card
Philadelphia,Filadelfia,Artboard_1 / Cards / Philadelphia_card
"3:8 You have a little power, and kept my word, and didn’t deny my name.","3:8 Tienes un poco de poder, y has guardado mi palabra, y no has negado mi nombre.",Artboard_1 / Cards / Philadelphia_card
"3:11 Hold firmly what you have, so no one takes your crown.","3:11 Retén con firmeza lo que tienes, para que ninguno tome tu corona.",Artboard_1 / Cards / Philadelphia_card
"3:12 I will write on him the name of my God and the name of the city of my God, the new Jerusalem, which comes down out of heaven from my God, and my own new name.","3:12 Escribiré sobre él el nombre de mi Dios y el nombre de la ciudad de mi Dios, la nueva Jerusalén, la cual desciende del cielo, de mi Dios, y mi nombre nuevo.",Artboard_1 / Cards / Philadelphia_card
"a humble, faithful church",una iglesia humilde y fiel,Artboard_1 / Cards / Philadelphia_card
Sardis,Sardis,Artboard_1 / Cards / Sardis_card
"3:1 I know your works, that you have a reputation of being alive, but you are dead.","3:1 Yo conozco tus obras, que tienes nombre de que vives, y estás muerto.",Artboard_1 / Cards / Sardis_card
3:2 Wake up and strengthen the things that remain...,3:2 Despierta y fortalece lo que queda...,Artboard_1 / Cards / Sardis_card
3:3 Remember therefore how you have received and heard. Keep it and repent.,"3:3 Acuérdate, pues, de lo que has recibido y oído. Guárdalo y arrepiéntete.",Artboard_1 / Cards / Sardis_card
"3:5 He who overcomes will be arrayed in white, and I will not blot out his name...","3:5 El que venciere será vestido de vestiduras blancas, y no borraré su nombre...",Artboard_1 / Cards / Sardis_card
a dead church,una iglesia muerta,Artboard_1 / Cards / Sardis_card
Sentiment,Sentimiento,Artboard_1 / Cards / Sentiment / g
Favorable,Favorable,Artboard_1 / Cards / Sentiment / g
Unfavorable,Desfavorable,Artboard_1 / Cards / Sentiment / g
Mixed,Mixto,Artboard_1 / Cards / Sentiment / g
Smyrna,Esmirna,Artboard_1 / Cards / Smyrna_card
"2:9 I know your works, oppression, and your poverty...","2:9 Conozco tus obras, tu tribulación y tu pobreza...",Artboard_1 / Cards / Smyrna_card
2:10 Don’t be afraid... you will have oppression for ten days.,2:10 No temas... tendréis tribulación por diez días.,Artboard_1 / Cards / Smyrna_card
"2:10 Be faithful to death, and I will give you the crown of life.","2:10 Sé fiel hasta la muerte, y yo te daré la corona de la vida.",Artboard_1 / Cards / Smyrna_card
2:11 He who overcomes won’t be harmed by the second death.,"2:11 El que venciere, no sufrirá daño de la segunda muerte.",Artboard_1 / Cards / Smyrna_card
"a poor, suffering church",una iglesia pobre y sufriente,Artboard_1 / Cards / Smyrna_card
Thyatira,Tiatira,Artboard_1 / Cards / Thyatira_card
