element_id,element_number,batch_number,text,final,final_model,is_unresolved
8633e724fc99,1,1,Introduction,簡介,gemini-3.1-pro-preview,False
2e6212d6aad5,2,1,Welcome,歡迎,gemini-3.1-pro-preview,False
4126aaaf767e,3,1,"This course is designed for the person that wants to learn what it means to become or be a follower of Jesus. Many people that seek this knowledge realize that the Bible is where they must look, but have been hampered in their quest for one reason or another (e.g. intimidated by the size of the Bible, don’t know where to begin, tried to read the Bible but couldn’t make sense of it, got discouraged, etc.).",本課程專為想要了解成為或作為耶穌跟隨者有何意義的人而設計。許多尋求這方面知識的人明白，他們必須從聖經中尋找答案，但在尋求的過程中卻因各種原因受阻（例如：被聖經的篇幅嚇退、不知從何讀起、試著讀聖經卻看不懂、感到氣餒等）。,gemini-3.1-pro-preview,False
24ef2f4ac85e,4,2,"This is a **self-directed study** to assist you in your quest for answers. It is intended to take you rapidly through select books of the Bible to give you a **“big picture”** overview of what it means to be or become a follower of Jesus, and to become familiarized with the Bible——which is the definitive handbook for those who want to follow Jesus. For maximum benefit, plan on spending about **30 minutes** every day for the next few weeks.",這是一份**自主學習**材料，旨在協助你尋找答案。它的目的是帶領你快速瀏覽精選的聖經書卷，為你提供一個**「全局」**概覽，讓你了解成為或作為一名耶穌跟隨者的意義，並讓你熟悉聖經——對於那些想要跟隨耶穌的人來說，這是一本權威的手冊。為了獲得最大的益處，請計畫在接下來的幾週內，每天花費大約**30分鐘**。,gemini-3.1-pro-preview,False
083f0de61472,5,3,The course consists of **two parts**: the first covers the basics and can be completed in two weeks. The second part “digs deeper” into the Bible and takes an additional five weeks of daily reading. This study lays the basic foundation for understanding the Bible and what it means to be a follower of Jesus.,本課程包含**兩個部分**：第一部分涵蓋基礎知識，可在兩週內完成。第二部分「深入探討」聖經，需要額外五週的時間每天閱讀。這項學習為理解聖經以及成為耶穌跟隨者的意義奠定了基礎。,gemini-3.1-pro-preview,False
00764d996d76,6,3,"After completing this course, you will be **equipped, empowered and excited** to continue your study of the Bible.",完成本課程後，你將**得到裝備、獲得能力並充滿熱忱地**繼續學習聖經。,gemini-3.1-pro-preview,False
44e085da6da8,7,3,The Non-Sequential Reading Approach,非順序讀經法,gemini-3.1-pro-preview,False
0f0419c8c247,8,3,Most people that are new to the Bible approach it like any other book that they read——they start at the beginning and read linearly through to the end.,大多數剛接觸聖經的人，會像閱讀其他書籍一樣來讀聖經——他們從頭開始，按順序一直讀到最後。,gemini-3.1-pro-preview,False
224d9cd39e1a,9,4,"However, this often leads to frustration because a linear reading approach does not readily facilitate an understanding of the Bible ***as you are reading it***. This course takes a different approach by taking you through books of the Bible in a **non-sequential** order. As such, this facilitates a **greater understanding** of the big picture of the Bible as you are reading it——that is, as you progress through the daily reading schedule, you will understand more and more what the Bible is saying.",然而，這往往會帶來挫折感，因為線性的閱讀方式無法幫助你輕易地***在閱讀的當下***明白聖經。本課程採取不同的方法，帶領你以**非順序的**方式來閱讀聖經各卷書。因此，這能幫助你在閱讀的同時對聖經的全貌有**更深入的了解**——也就是說，隨著你按著每日的閱讀進度前進，你會越來越明白聖經在說什麼。,gemini-3.1-pro-preview,False
f1e071f3c3e5,10,4,Getting Started,準備開始,gemini-3.1-pro-preview,False
